id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,20,8,2011-11-08,7,12:15:40,8.3,8.7,9.1,0.381,0.206,0.349,0.402,69.8,Araren Pit,-,-,-
1,1,20,8,2011-11-28,7,12:14:26,8.7,13,11,0.571,0.206,0.429,0.659,68.4,Araren Pit,-,-,-
1,1,20,8,2011-12-01,7,17:13:08,9.8,9.8,3.7,0.302,0.222,0.444,0.462,68.0,Araren Pit,-,-,-
1,1,20,8,2012-01-03,7,-,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-01-06,7,-,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-01-07,7,17:08:07,7.9,6.4,5.3,0.397,0.238,0.46,0.485,71.2,Araren Pit,-,-,-
1,1,20,8,2012-01-09,7,17:07:40,6.7,8.3,5.1,0.524,0.286,0.556,0.591,58.9,Pajajaran Pit,-,-,-
1,1,20,8,2012-01-10,7,-,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-01-11,7,17:07:27,12,19,16,0.317,0.254,0.46,0.507,60.2,Pajajaran Pit,-,-,-
1,1,20,8,2012-01-13,7,-,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-01-25,7,-,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-01-26,7,17:06:38,3.3,11,4.8,1.27,0.270,0.746,1.28,72.4,Pajajaran Pit,-,-,-
1,1,20,8,2012-01-27,7,17:06:11,4.2,7.8,5.2,0.381,0.302,0.524,0.573,71.6,Pajajaran Pit,-,-,-
1,1,20,8,2012-01-28,7,17:05:43,4.1,16,3.5,0.508,0.111,0.476,0.623,61.5,Pajajaran Pit,-,-,-
1,1,20,8,2012-01-30,7,17:05:48,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-01-31,7,17:06:02,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-01-31,7,12:12:19,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-02-03,7,12:16:30,21,16,26,0.397,0.19,0.302,0.508,59.9,Pajajaran Pit,-,-,-
1,1,20,8,2012-02-04,7,17:13:11,18,20,17,0.492,429,0.444,0.654,62.9,Pajajaran Pit,-,-,-
1,1,20,8,2012-02-08,7,17:13:26,4.5,8.4,3.9,0.492,0.333,0.762,0.79,60.7,Pajajaran Pit,-,-,-
1,1,20,8,2012-02-14,7,17:08:27,3.6,Not trigered,3.7,1.03,0.238,1.08,1.41,61.6,Pajajaran Pit,-,-,-
1,1,20,8,2012-02-16,7,12:12:57,5,8.7,4.9,0.175,0.143,0.365,0.371,77.2,Pajajaran Pit,-,-,-
1,1,20,8,2012-02-23,7,17:11:45,3.3,8.7,3.8,0.603,0.238,0.81,0.834,74.5,Pajajaran Pit,-,-,-
1,1,20,8,2012-02-29,7,17:15:05,7.4,6.8,5.5,0.873,0.349,0.968,1.31,72.1,Pajajaran Pit,-,-,-
1,1,20,8,2012-03-06,7,17:13:39,6.2,7.6,3.6,0.381,0.238,0.825,0.827,81.5,Pajajaran Pit,-,-,-
1,1,20,8,2012-03-10,7,-,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-03-12,7,-,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-03-19,7,17:09:19,>100,>100,>100,0.0635,0.0476,0.0476,0.0794,79.3,Pajajaran Pit,-,-,-
1,1,20,8,2012-03-22,7,-,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-03-24,7,17:14:00,4.5,14,5.1,0.397,0.206,0.508,0.613,57.5,Pajajaran Pit,-,-,-
1,1,20,8,2012-03-26,7,12:08:44,7.4,47,11,0.111,0.0635,0.0952,0.122,75.2,Pajajaran Pit,-,-,-
1,1,20,8,2012-03-28,7,17:13:28,8.7,7.5,5,0.254,0.175,0.397,0.456,86.9,Pajajaran Pit,-,-,-
1,1,20,8,2012-03-30,7,-,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-04-02,7,12:13:00,6.6,N/A,N/A,0.397,0.127,0.27,0.408,85.6,Pajajaran Pit,-,-,-
1,1,20,8,2012-04-03,7,-,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-04-07,7,17:12:44,5.7,5.8,4.7,1.38,1.02,1.75,2.02,63.2,Pajajaran Pit,-,-,-
1,1,20,8,2012-04-10,7,17:12:16,6,5.8,6,1.25,0.841,1.65,1.96,61.7,Pajajaran Pit,-,-,-
1,1,20,8,2012-04-11,7,12:15:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-04-13,7,12:15:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-04-14,7,12:11:48,8.4,8.8,7.2,0.222,0.175,0.381,0.413,79.3,Pajajaran Pit,-,-,-
1,1,20,8,2012-04-23,7,17:15:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,-,-,-
1,1,20,8,2012-04-25,7,17:12:00,5.40,12.0,N/A,0.127,0.0952,0.206,0.235,77.3,Pajajaran Pit,-,-,-
1,1,20,8,2012-04-28,7,12:11:03,4,6.7,4.5,0.444,0.27,0.413,0.511,58.7,Pajajaran Pit,-,-,-
1,1,20,8,2012-05-08,7,12:15:00,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Pajajaran Pit,-,-,-
1,1,20,8,2012-05-09,7,12:11:03,5.8,8,5.4,0.603,0.508,0.857,0.877,74.9,Pajajaran Pit,-,-,-
1,1,20,8,2012-05-11,7,12:13:11,4.7,64,4.6,0.159,0.0952,0.175,0.204,75.4,Pajajaran Pit,-,-,-
1,1,20,8,2012-05-15,7,17:13:30,13,43,17,0.127,0.127,0.127,0.139,84.4,Pajajaran Pit,-,-,-
1,1,20,8,2012-05-19,7,12:12:41,5,7.5,11,0.524,0.476,0.46,0.69,75.2,Pajajaran Pit,-,-,-
1,1,20,8,2012-05-23,7,17:11:21,3.8,7.5,5,0.286,0.159,0.381,0.384,79.5,Pajajaran Pit,-,-,-
1,1,20,8,2012-05-24,7,16:56:36,4.6,5.9,4.3,1.21,0.603,1.27,1.37,83.9,Pajajaran Pit,-,-,-
1,1,20,8,2012-05-25,7,17:02:55,8,12,4.3,0.333,0.159,0.365,0.441,83.1,Pajajaran Pit,-,-,-
1,1,20,8,2012-05-26,7,12:11:48,4,5.3,4.7,0.937,0.508,0.921,1.22,63.7,Pajajaran Pit,-,-,-
1,1,20,8,2012-05-28,7,12:10:43,15,6,16,0.937,0.444,0.714,1.08,75.4,Pajajaran Pit,-,-,-
1,1,20,8,2012-05-29,7,12:10:51,6.2,7.6,9.1,0.302,0.175,0.746,0.76,69.0,Pajajaran Pit,-,-,-
1,1,20,8,2012-05-30,7,12:14:05,5.1,6.5,7.8,0.587,0.27,0.333,0.595,58.8,Pajajaran Pit,Bright,FB,-
1,1,20,8,2012-06-02,7,17:00:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,Bright,FB,-
1,1,20,8,2012-06-04,7,16:57:51 PM,3.8,5.8,4,1.17,0.889,1.00,1.43,80.8,Pajajaran Pit,Bright,FB,-
1,1,20,8,2012-06-06,7,17:05:45,4.5,9.3,4.6,0.698,0.254,0.937,1.06,62.1,Pajajaran Pit,Cloudy,FB,-
1,1,20,8,2012-06-09,7,12:12:22,3.9,5.5,4.2,1.06,0.492,2.11,2.18,62.4,Pajajaran Pit,-,AL/DA,-
1,1,20,8,2012-06-11,7,16:57:35,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Pajajaran Pit,-,FB,When installing the geophones had heard the sound of blasting
1,1,20,8,2012-06-12,7,16:57:23,3.7,6.7,4.5,0.857,0.444,0.83,1.14,75.5,Pajajaran Pit,Cloudy,FB,-
1,1,20,8,2012-06-13,7,12:11:50,12,13,14,0.349,0.19,0.365,0.43,75.9,Pajajaran Pit,Bright,DA/TL,-
1,1,20,8,2012-06-15,7,16:57:41,5.3,6.2,4.2,1.14,0.365,0.810,1.24,77.3,Pajajaran Pit,Bright,-,-
1,1,20,8,2012-06-16,7,12:12:10,8.1,73,11,0.46,0.286,0.397,0.512,79.0,Pajajaran Pit,Bright,-,-
1,1,20,8,2012-06-18,7,16:57:30,10,7,9.8,0.524,0.222,0.413,0.584,71.5,Pajajaran Pit,Bright,FB,-
1,1,20,8,2012-06-19,7,16:57:56,9.1,6.8,8.8,0.333,0.175,0.270,0.351,67.2,Pajajaran Pit,Bright,FB,-
1,1,20,8,2012-06-20,7,17:00:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,Bright,FB,-
1,1,20,8,2012-06-22,7,17:01:06,6.5,9.8,10,0.492,0.206,0.444,0.499,79.7,Pajajaran Pit,Bright,JM/DA,-
1,1,20,8,2012-06-24,7,17:00:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,Bright,RH,-
1,1,20,8,2012-06-25,7,17:00:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,Bright,FB,-
1,1,20,8,2012-06-27,7,17:00:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,Bright,FB,-
1,1,20,8,2012-06-29,7,16:58:25 PM,5.0,9.7,7.3,0.317,0.175,0.413,0.425,73.3,Pajajaran Pit,Bright,FB,-
1,1,20,8,2012-07-02,7,17:00:00 PM,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,Bright,FB/RH,-
1,1,20,8,2012-07-05,7,17:01:12,7.1,9.7,3.9,0.365,0.159,0.413,0.431,71.7,Pajajaran Pit,Bright,FB/AP,-
1,1,20,8,2012-07-07,7,16:56:54,4.0,11,5.5,0.397,0.206,0.524,0.566,77.3,Pajajaran Pit,Bright,FB/AP,-
1,1,20,8,2012-07-09,7,16:56:59,7.9,6.9,3.8,0.460,0.190,0.460,0.473,58.7,Pajajaran Pit,Bright,AP/DA,-
1,1,20,8,2012-07-12,7,16:57:37,5.6,9.1,5.2,0.476,0.206,0.381,0.566,71.5,Pajajaran Pit,Bright,FB/AP,-
1,1,20,8,2012-07-14,7,16:56:04,5.6,7.0,10.0,0.444,0.444,0.365,0.522,71.5,Pajajaran Pit,Cloudy,FB/AP,-
1,1,20,8,2012-07-17,7,17:38:02,7.1,5.3,5.6,0.778,0.349,0.762,0.824,73.9,Pajajaran Pit,Bright,AP,-
1,1,20,8,2012-07-19,7,16:59:31,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Pajajaran Pit,Bright,AP,-
1,1,20,8,2012-07-20,7,16:58:39,7.8,5.6,4.9,0.698,0.476,0.651,0.774,78.1,Pajajaran Pit,Cloudy,AP/TL,-
1,1,20,8,2012-07-23,7,16:56:45,8.8,9.7,10.0,0.333,0.190,10.0,0.449,68.0,Pajajaran Pit,Bright,AP,-
1,1,20,8,2012-07-24,7,17:00:24,3.3,4.5,4.3,0.524,0.19,0.524,0.63,64.9,Pajajaran Pit,Bright,AP,-
1,1,20,8,2012-07-26,7,17:01:08,4,14.0,4.7,0.222,0.127,0.333,0.355,65.4,Pajajaran Pit,Cloudy,AP/FB,-
1,1,20,8,2012-07-28,7,16:56:15,12,11.0,9.3,0.683,0.206,0.587,0.822,62.9,Pajajaran Pit,Cloudy,FB/TL,There is an error noted name of monitoring location on the sheet of PDF
1,1,20,8,2012-07-30,7,16:57:03,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Pajajaran Pit,Cloudy,DA/DK,-
